,INCIDENT_ID,DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,INCIDENT_DATE,ADULT_VICTIM_COUNT,JUVENILE_VICTIM_COUNT,TOTAL_OFFENDER_COUNT,ADULT_OFFENDER_COUNT,JUVENILE_OFFENDER_COUNT,OFFENDER_RACE,OFFENDER_ETHNICITY,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,MULTIPLE_OFFENSE,MULTIPLE_BIAS
7277,7474,1992,NC0680400,University of North Carolina:,Chapel Hill,University or College,NC,North Carolina,South Atlantic,South,7,"Cities under 2,500",20-NOV-92,,,0,,,Unknown,,1,Intimidation,1.0,Hotel/Motel/Etc.,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Individual,S,S
14709,14462,1993,NC0320200,North Carolina Central University,,University or College,NC,North Carolina,South Atlantic,South,7,"Cities under 2,500",24-FEB-93,,,7,,,Black or African American,,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
14710,14463,1993,NC0340200,Winston-Salem,,City,NC,North Carolina,South Atlantic,South,2,"Cities from 100,000 thru 249,999",10-SEP-93,,,2,,,White,,1,Aggravated Assault,1.0,Hotel/Motel/Etc.,Anti-Black or African American,Individual,S,S
14711,14464,1993,NC0360600,Gastonia,,City,NC,North Carolina,South Atlantic,South,3,"Cities from 50,000 thru 99,999",27-JAN-93,,,14,,,Black or African American,,1,Aggravated Assault,1.0,School/College,Anti-White,Individual,S,S
14712,14465,1993,NC0360600,Gastonia,,City,NC,North Carolina,South Atlantic,South,3,"Cities from 50,000 thru 99,999",25-JUN-93,,,1,,,Black or African American,,8,Aggravated Assault;Destruction/Damage/Vandalism of Property,4.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Government;Individual,M,S
14713,14466,1993,NC0430000,Harnett,,County,NC,North Carolina,South Atlantic,South,8B,"Non-MSA counties from 25,000 thru 99,999",08-JUL-93,,,4,,,Black or African American,,1,Aggravated Assault,1.0,Residence/Home,Anti-White,Individual,S,S
14714,14467,1993,NC0680100,Chapel Hill,,City,NC,North Carolina,South Atlantic,South,4,"Cities from 25,000 thru 49,999",31-MAR-93,,,1,,,White,,1,Intimidation,1.0,Residence/Home,Anti-Gay (Male),Individual,S,S
14715,14468,1993,NC0680100,Chapel Hill,,City,NC,North Carolina,South Atlantic,South,4,"Cities from 25,000 thru 49,999",14-NOV-93,,,2,,,Black or African American,,4,Aggravated Assault;Simple Assault,4.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,M,S
14716,14469,1993,NC0920100,Raleigh,,City,NC,North Carolina,South Atlantic,South,2,"Cities from 100,000 thru 249,999",10-JAN-93,,,2,,,White,,2,Aggravated Assault,2.0,Bar/Nightclub,Anti-Other Race/Ethnicity/Ancestry,Individual,S,S
14717,14470,1993,NC0920100,Raleigh,,City,NC,North Carolina,South Atlantic,South,2,"Cities from 100,000 thru 249,999",12-NOV-93,,,1,,,White,,2,Destruction/Damage/Vandalism of Property;Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual,M,S
